pair,timeframe,direction,score,factors,entry_ts,entry,sl,tp1,tp2,outcome,exit_ts,exit_price,pnl_pips,expired
GBP/CAD,15min,SHORT,6,Price at Bearish OB (1.85765 – 1.85895);Buy-side liquidity swept;In kill zone;Premium zone (above 50% EQ),2026-05-28 14:15:00+00:00,1.8589199781417847,1.85945,1.85748,1.85501,TP2,2026-05-28 15:00:00+00:00,1.85501,26.8,False
XAG/USD,15min,LONG,7,FVG present in zone;Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);Wyckoff Accumulation Phase C — Spring confirmed,2026-06-01 14:00:00+00:00,74.19499969482422,73.795,76.005,76.092,TP2,2026-06-02 01:00:00+00:00,76.092,19.0,False
GBP/USD,1h,LONG,6,Sell-side liquidity swept;Discount zone (below 50% EQ);Wyckoff Accumulation Phase C — Spring confirmed;Spring tested (no supply),2026-06-08 00:00:00+00:00,1.3335645198822021,1.33156,1.34595,1.34732,SL,2026-06-08 09:15:00+00:00,1.33156,-20.0,False
NAS100,15min,SHORT,7,Price at Bearish OB (29065.75 – 29169.0);In kill zone;Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand);UTAD at Bearish OB — ICT+Wyckoff confluence,2026-06-10 14:15:00+00:00,29091.5,29179.0,28227.75,27945.47,SL,2026-06-10 14:15:00+00:00,29179.0,-87.5,False
US30,15min,SHORT,6,HTF BEARISH bias aligns with SHORT signal;FVG present in zone;In kill zone;CHoCH confirmed on LTF;Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-06-10 14:45:00+00:00,50580.0,50660.0,50262.0,49759.38,TP2,2026-06-10 23:15:00+00:00,49759.38,569.3,False
US30,15min,SHORT,7,HTF BEARISH bias aligns with SHORT signal;Price at Bearish OB (50285.0 – 50422.0);FVG present in zone;OB+FVG confluence zone;Buy-side liquidity swept;In kill zone,2026-06-11 14:00:00+00:00,50340.0,50432.0,49758.0,49260.42,SL,2026-06-11 17:15:00+00:00,50432.0,-92.0,False
NAS100,15min,SHORT,7,HTF BEARISH bias aligns with SHORT signal;Buy-side liquidity swept;In kill zone;CHoCH confirmed on LTF;Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-06-11 14:15:00+00:00,28843.5,28893.5,28684.75,28632.25,SL,2026-06-11 14:15:00+00:00,28893.5,-50.0,False
NAS100,15min,SHORT,8,HTF BEARISH bias aligns with SHORT signal;FVG present in zone;Buy-side liquidity swept;In kill zone;CHoCH confirmed on LTF;Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-06-11 14:45:00+00:00,28818.0,28868.0,28684.75,28632.25,TP2,2026-06-11 14:45:00+00:00,28632.25,185.8,False
NAS100,15min,LONG,6,HTF BULLISH bias aligns with LONG signal;Sell-side liquidity swept;In kill zone;CHoCH confirmed on LTF;Wyckoff Accumulation Phase C — Spring confirmed,2026-06-17 12:00:00+00:00,30416.0,30366.0,30853.33,30891.5,SL,2026-06-17 13:45:00+00:00,30366.0,-50.0,False
US30,1h,SHORT,6,HTF BEARISH bias aligns with SHORT signal;Buy-side liquidity swept;In kill zone;Premium zone (above 50% EQ);Wyckoff Distribution Phase C — UTAD confirmed,2026-06-17 14:00:00+00:00,52636.0,52716.0,52402.5,52093.0,SL,2026-06-17 14:00:00+00:00,52716.0,-80.0,False
US30,1h,SHORT,6,HTF BEARISH bias aligns with SHORT signal;Buy-side liquidity swept;Premium zone (above 50% EQ);Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-06-17 16:00:00+00:00,52669.0,52749.0,52402.5,52093.0,TP2,2026-06-17 19:15:00+00:00,52093.0,421.2,False
EUR/JPY,1h,LONG,6,FVG present in zone;Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);CHoCH confirmed on LTF,2026-06-26 11:00:00+00:00,184.3159942626953,184.07,185.38,186.32,SL,2026-06-26 19:15:00+00:00,184.07,-24.6,False
NAS100,1h,SHORT,7,HTF BEARISH bias aligns with SHORT signal;Price at Bearish OB (30117.0 – 30263.75);FVG present in zone;OB+FVG confluence zone;Buy-side liquidity swept;Premium zone (above 50% EQ),2026-06-30 06:00:00+00:00,30167.0,30273.75,29928.88,29273.75,SL,2026-06-30 13:45:00+00:00,30273.75,-106.8,False
XAG/USD,1h,SHORT,6,Buy-side liquidity swept;In kill zone;Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-06-30 08:00:00+00:00,59.45000076293945,59.85,57.84,55.695,SL,2026-06-30 14:00:00+00:00,59.85,-4.0,False
XAG/USD,15min,SHORT,6,Buy-side liquidity swept;In kill zone;Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-06-30 14:15:00+00:00,60.255001068115234,60.655,58.6725,58.395,SL,2026-06-30 14:15:00+00:00,60.655,-4.0,False
XAG/USD,15min,SHORT,6,Buy-side liquidity swept;In kill zone;Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-06-30 14:30:00+00:00,60.54499816894531,60.945,58.6725,58.395,TP2,2026-07-01 01:15:00+00:00,58.395,20.1,False
US30,1h,SHORT,6,Buy-side liquidity swept;In kill zone;Premium zone (above 50% EQ);Wyckoff Distribution Phase C — UTAD confirmed,2026-07-02 14:00:00+00:00,53032.0,53112.0,52556.5,52382.0,SL,2026-07-02 14:15:00+00:00,53112.0,-80.0,False
US30,1h,SHORT,6,Buy-side liquidity swept;Premium zone (above 50% EQ);Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-07-02 16:00:00+00:00,53009.0,53089.0,52556.5,52382.0,SL,2026-07-02 19:45:00+00:00,53089.0,-80.0,False
